"card_id";"disp_id";"type";"issued"
60;370;"classic";981018 00:00:00
74;453;"classic";981018 00:00:00
749;4929;"classic";981019 00:00:00
339;2154;"classic";981019 00:00:00
769;5224;"classic";981020 00:00:00
488;3134;"gold";981020 00:00:00
31;208;"classic";981021 00:00:00
542;3439;"classic";981022 00:00:00
750;4937;"classic";981024 00:00:00
855;6764;"classic";981024 00:00:00
299;1886;"classic";981025 00:00:00
158;928;"gold";981025 00:00:00
857;6789;"junior";981025 00:00:00
230;1388;"gold";981025 00:00:00
295;1864;"classic";981026 00:00:00
584;3751;"classic";981028 00:00:00
449;2865;"classic";981028 00:00:00
351;2232;"classic";981101 00:00:00
138;791;"classic";981102 00:00:00
524;3333;"classic";981102 00:00:00
693;4495;"junior";981103 00:00:00
604;3858;"classic";981104 00:00:00
746;4901;"classic";981104 00:00:00
333;2128;"classic";981104 00:00:00
129;719;"classic";981105 00:00:00
429;2709;"classic";981105 00:00:00
424;2659;"classic";981106 00:00:00
345;2175;"classic";981107 00:00:00
1165;12291;"classic";981108 00:00:00
1070;10490;"junior";981108 00:00:00
217;1316;"classic";981109 00:00:00
636;4091;"junior";981109 00:00:00
820;6039;"classic";981110 00:00:00
46;273;"classic";981110 00:00:00
742;4833;"classic";981110 00:00:00
404;2540;"junior";981112 00:00:00
102;575;"classic";981112 00:00:00
455;2924;"classic";981113 00:00:00
253;1536;"gold";981114 00:00:00
570;3620;"classic";981114 00:00:00
27;167;"junior";981115 00:00:00
580;3713;"classic";981116 00:00:00
409;2562;"classic";981116 00:00:00
205;1242;"classic";981116 00:00:00
773;5245;"classic";981118 00:00:00
487;3130;"classic";981118 00:00:00
177;1056;"classic";981119 00:00:00
632;4069;"classic";981119 00:00:00
445;2820;"gold";981119 00:00:00
1001;9247;"classic";981120 00:00:00
257;1589;"classic";981120 00:00:00
178;1057;"classic";981121 00:00:00
704;4553;"gold";981121 00:00:00
56;339;"classic";981122 00:00:00
148;834;"classic";981122 00:00:00
392;2496;"classic";981122 00:00:00
523;3319;"junior";981123 00:00:00
1175;12494;"classic";981124 00:00:00
466;2998;"classic";981125 00:00:00
500;3192;"classic";981126 00:00:00
4;42;"classic";981126 00:00:00
388;2488;"junior";981126 00:00:00
164;992;"classic";981129 00:00:00
489;3135;"classic";981129 00:00:00
626;3992;"classic";981130 00:00:00
1169;12354;"classic";981130 00:00:00
1137;11771;"gold";981201 00:00:00
677;4382;"junior";981201 00:00:00
20;131;"classic";981202 00:00:00
657;4246;"junior";981202 00:00:00
219;1329;"classic";981204 00:00:00
819;5978;"gold";981206 00:00:00
1177;12535;"gold";981206 00:00:00
341;2156;"gold";981206 00:00:00
692;4493;"classic";981208 00:00:00
715;4639;"junior";981208 00:00:00
131;725;"classic";981208 00:00:00
201;1223;"classic";981208 00:00:00
605;3874;"classic";981211 00:00:00
306;1929;"classic";981211 00:00:00
378;2430;"classic";981211 00:00:00
549;3504;"classic";981212 00:00:00
371;2388;"gold";981213 00:00:00
147;826;"junior";981213 00:00:00
527;3348;"junior";981214 00:00:00
172;1030;"classic";981214 00:00:00
886;7325;"classic";981215 00:00:00
479;3085;"classic";981216 00:00:00
691;4492;"classic";981216 00:00:00
560;3577;"classic";981217 00:00:00
452;2910;"classic";981219 00:00:00
506;3236;"gold";981219 00:00:00
735;4772;"classic";981219 00:00:00
654;4230;"classic";981221 00:00:00
196;1197;"classic";981222 00:00:00
473;3063;"classic";981222 00:00:00
829;6255;"classic";981222 00:00:00
310;1947;"junior";981223 00:00:00
76;464;"classic";981223 00:00:00
573;3638;"classic";981223 00:00:00
240;1459;"classic";981223 00:00:00
728;4725;"classic";981224 00:00:00
924;7862;"classic";981224 00:00:00
486;3128;"gold";981225 00:00:00
1081;10696;"classic";981225 00:00:00
753;4974;"classic";981225 00:00:00
442;2796;"classic";981226 00:00:00
125;694;"gold";981226 00:00:00
674;4360;"classic";981228 00:00:00
322;2063;"classic";981228 00:00:00
685;4467;"classic";981229 00:00:00
635;4083;"classic";981229 00:00:00
