Postcode,Count taxable income or loss,Average taxable income or loss,Median taxable income or loss,Count salary and wages,Average salary and wages,Median salary and wages,Count net rent,Average net rent,Median net rent,Count total income or loss,Average total income or loss,Median total income or loss,Count total deductions,Average total deductions,Median total deductions,Count total business income,Average total business income,Median total business income,Count  total business expenses,Average total business expenses,Median total business expenses,Count net tax,Average net tax,Median net tax,Count super total accounts balance,Average super total accounts balance,Median super total accounts balance
3021,24026,39793,36142,19709,42816,40706,2678,-1776,-1612,24026,41624,37794,24026,1814,614,2482,52865,27632,2251,38245,12557,17041,9100,6776,29751,54047,18717
3022,1902,44075,40347,1583,47364,45782,301,-3108,-2229,1902,46202,42765,1902,2110,792,196,62793,27550,188,48813,13448,1420,10465,8305,2225,64827,29530
3023,31629,49158,43331,26878,52699,48701,4999,-4903,-3941,31629,51731,45759,31629,2533,1022,2970,68009,29022,2841,50648,15342,24492,12474,9254,35797,66281,34180
3024,11362,48763,44846,10014,52221,49401,913,-5094,-3880,11362,51446,47354,11362,2674,1134,886,93098,27678,853,78608,13675,9056,11637,9202,13165,64030,33087
3025,5712,51182,43381,4498,55345,49517,964,-237,-1107,5712,53699,45517,5712,2493,810,602,77897,31447,583,61888,13200,4365,13667,9749,6792,79297,36592
3026,173,62112,46158,127,58642,51409,31,-3155,2608,173,65017,50034,173,2776,669,15,100714,23930,15,80346,22375,139,17966,10149,201,86356,20456
3027,3552,55187,47974,3030,60114,54566,727,-6787,-5337,3552,57851,50531,3552,2550,1020,383,84061,35000,362,64124,15498,2846,14849,11267,3660,52858,29684
3028,15915,48213,43115,13634,51376,47615,2118,-2878,-2217,15915,50533,45448,15915,2280,900,1355,51870,25573,1269,37012,11368,12376,11836,8986,19242,79275,33668
3029,46542,47662,42844,39591,51648,48171,5228,-4929,-3932,46542,50123,45198,46542,2434,968,4907,46006,25496,4567,31664,12561,36013,11699,8852,52013,66602,28271
3030,52501,54100,45475,44184,57230,50927,8189,-4866,-3844,52501,56842,48019,52501,2691,1008,4509,63127,27520,4305,44777,13341,41085,14789,10176,58952,83827,36369
3031,10744,61430,50110,9294,62341,54346,1639,-4378,-2820,10744,64190,52840,10744,2686,883,1210,51789,20622,1142,30856,10016,8585,17865,12382,13052,90506,35072
3032,17189,61552,47752,14424,60897,51180,3194,-3421,-2452,17189,64693,50189,17189,3047,914,1528,76801,21674,1443,54409,9989,13498,18387,11557,20096,112167,37503
3033,7956,54614,43500,6258,56101,48826,1588,-365,-715,7956,57390,45713,7956,2754,873,651,137541,28163,625,119064,12719,6030,15662,10098,9119,124393,59538
3034,6143,52573,43288,4731,54162,47806,1417,-15,-448,6143,55123,45452,6143,2490,715,508,92347,27664,484,73167,11956,4585,14881,10081,6987,129416,50669
3036,3954,61919,45892,2949,58101,48327,862,-1079,-736,3954,65019,48861,3954,3044,818,291,98239,32355,285,69624,14767,2954,19926,12027,4233,205108,66654
3037,26798,49491,43473,22944,52856,48102,4318,-4869,-3836,26798,52089,45744,26798,2567,1044,2286,79325,30802,2169,63183,14890,20922,12502,9216,30146,71898,37108
3038,16795,50939,42801,13830,52911,46672,3557,-2280,-1697,16795,53560,45183,16795,2589,937,1217,81488,28973,1194,62256,15004,12902,13520,9480,19107,107870,45224
3039,8829,69624,51700,7132,67164,54536,1884,-2577,-1826,8829,72935,54531,8829,3243,973,715,106790,27430,691,75802,11435,7037,22477,13169,10238,149208,56450
3040,16520,70504,49745,12913,64905,51667,3363,-2178,-1303,16520,74074,52314,16520,3499,924,1249,156990,28710,1208,124423,12554,12936,23733,12705,18200,182229,58027
3041,7545,63709,48414,5869,62468,51768,1494,-1806,-1292,7545,66767,50837,7545,3020,904,582,81322,30890,558,56954,12875,5838,19899,12222,8292,174261,68566
3042,9046,54675,45690,7275,57661,51577,1654,-1975,-2308,9046,57555,48424,9046,2805,993,763,68211,28838,743,49242,13198,7015,15102,10693,10401,109431,54760
3043,9887,51087,43137,8023,52449,48194,1537,-2480,-1841,9887,53707,45326,9887,2586,1021,816,58497,29562,784,41812,13502,7560,13815,9229,11760,101813,44984
3044,14592,55753,46386,11953,57672,51000,2692,-972,-1366,14592,58445,48773,14592,2620,922,1357,56125,22942,1276,41190,10626,11398,15575,10986,16541,105017,48353
3046,16911,47018,40418,13589,50550,45804,2265,-2047,-1786,16911,49238,42327,16911,2199,715,1944,53291,25492,1755,38818,11904,12582,12065,8540,19619,75558,29352
3047,7202,37610,33408,5528,41449,39446,621,-2408,-1620,7202,39454,34959,7202,1813,528,1175,55997,30715,1104,40552,14988,4962,8268,6120,9404,41431,12079
3048,6617,37593,33115,5094,41250,39014,671,-2667,-1836,6617,39441,34842,6617,1827,586,1076,73358,34238,1031,56799,18397,4579,8278,5967,8288,42196,14206
3049,5297,51182,43656,4451,52873,47853,867,-3519,-2832,5297,53846,46024,5297,2624,1070,455,61840,33600,443,44424,14181,4130,13228,9526,6210,96430,44506
3051,7611,61061,40702,6376,54613,44771,1074,-786,-1214,7611,63808,43020,7611,2694,503,903,66721,22008,814,39043,11680,5531,21444,10541,9681,86981,17980
3052,3213,62960,40460,2666,56061,40992,462,-1475,-166,3213,66148,42662,3213,3136,588,333,93959,24000,305,61717,9100,2277,23043,10597,3822,157545,20675
3053,7382,53638,36498,6083,50254,38096,884,-1442,-1019,7382,56579,37972,7382,2837,319,781,105616,21671,727,76901,10752,5043,18439,9640,9536,116378,11098
3054,5839,77077,48284,4680,63655,49220,936,436,84,5839,81742,50657,5839,4336,752,756,90495,21186,708,47188,10508,4535,28034,12492,7063,170599,35944
3055,8272,55752,44986,7106,55541,48346,1159,-1084,-1261,8272,58307,46925,8272,2524,800,858,50599,17882,788,30892,9003,6491,15580,10185,10080,91351,31514
3056,15808,56437,45476,13692,55835,47722,2216,-1620,-1372,15808,58873,47466,15808,2390,720,1899,55384,19563,1796,34428,9121,12413,15919,10427,19439,83907,28038
3057,7147,57766,47292,6186,57065,49463,995,-689,-1164,7147,60129,49127,7147,2345,708,871,47465,18320,792,29738,9152,5724,16123,10784,8612,80839,29986
3058,19418,53067,42944,16125,54493,47176,3126,-532,-1021,19418,55351,45114,19418,2255,742,2206,53650,22234,2078,36346,9954,14964,14574,9701,23192,83099,34539
3059,8756,55366,43958,6968,54475,46914,1781,-2181,-2263,8756,58384,46450,8756,2938,1032,766,85964,38532,746,61730,19060,6850,15526,9941,9323,114968,42684
3060,6011,42633,35474,4563,47095,42205,888,130,-238,6011,44739,37246,6011,2019,572,868,58878,24332,797,46425,11422,4150,11153,7704,6918,60152,22829
3061,2121,40117,33440,1507,43170,39900,269,-10,208,2121,41999,35120,2121,1875,450,348,79481,40457,330,64884,22990,1477,9629,6156,2647,51147,15021
3062,103,81232,57712,83,52738,49866,13,4999,-1827,103,83710,61827,103,2445,493,6,138655,73354,6,117256,45308,89,26091,14864,116,148717,51026
3063,394,58183,46640,298,61406,53238,89,-3174,-3049,394,61247,49918,394,3064,1077,38,47121,34778,37,40793,17505,305,17561,11049,424,140226,59619
3064,33307,45665,41277,28199,49203,46281,3705,-4388,-3680,33307,48026,43491,33307,2339,960,3756,59571,31536,3554,43547,15616,25677,10837,8236,37095,55217,26032
3065,6593,67770,47406,5458,63186,49445,941,-586,-1161,6593,71197,49666,6593,3328,750,991,78975,24900,938,51737,11588,5173,22183,11674,8803,111557,25465
3066,4643,59956,46295,3931,57849,48471,651,-1613,-2246,4643,62630,48184,4643,2626,649,728,63949,25036,671,44446,12022,3656,17682,11166,6069,76270,24283
3067,5325,62268,49962,4596,59692,52178,716,-2076,-2057,5325,65512,52731,5325,2879,800,589,82015,20605,556,55484,9605,4239,18754,11961,6209,101017,27665
3068,11939,74669,51748,9818,67653,52504,2094,-1337,-792,11939,78216,54732,11939,3480,942,1741,83772,23231,1677,48576,10286,9575,24911,13338,14707,154638,43884
3070,15038,66375,49497,12637,62887,51736,2580,-587,-840,15038,69293,51914,15038,2882,892,2012,66926,21741,1906,39786,9338,11996,20650,12135,17959,115870,45937
3071,10771,56633,45779,9083,56492,48346,1668,-58,-528,10771,59080,47874,10771,2402,782,1403,61211,19089,1342,43611,8646,8490,15896,10285,12938,87703,37544
3072,17981,51160,42447,14935,52329,46049,2903,-299,-820,17981,53417,44445,17981,2213,703,2024,79394,22672,1923,61662,9819,13726,13812,9324,21677,77960,33661
3073,24679,46521,40148,20061,48494,44484,3629,403,-382,24679,48595,41857,24679,2049,642,2528,50465,24000,2359,36006,10515,18384,11813,8409,29588,71577,29443
3074,9460,41457,37000,7554,44064,41904,1429,103,-400,9460,43412,38488,9460,1925,608,1012,57113,29004,949,41619,13487,6778,9889,7112,11680,58035,23053
3075,9805,42247,37455,7865,45532,42290,1441,-545,-1027,9805,44301,39303,9805,2039,660,1098,57754,30010,1010,42991,15762,7087,10127,7383,11808,58043,25779
3076,16421,45197,40506,13882,48190,44838,2079,-3333,-3040,16421,47502,42621,16421,2279,893,1621,52135,27742,1497,37392,13499,12589,10713,8026,18592,62396,29860
3078,6936,70651,49254,5653,65050,51951,1267,-1217,-655,6936,73950,51708,6936,3207,930,852,95980,21488,823,60704,9037,5512,23172,12449,7972,150036,54690
3079,10124,89478,52972,7617,70829,53801,2151,-1584,-723,10124,93591,56056,10124,4010,848,990,135449,32822,971,86230,12443,7890,34955,14750,11205,237380,71539
3081,6455,46943,39644,5256,49212,44270,744,-1882,-1218,6455,49084,41621,6455,2109,659,841,50099,26319,804,32202,11963,4798,12063,8538,8179,70879,25958
3082,17091,47896,41755,14548,49780,45496,2975,-2503,-1993,17091,50248,43999,17091,2328,889,1307,113137,29628,1247,98240,12752,13150,12030,8604,19553,83904,38853
3083,16567,46647,38285,13206,49287,42980,2949,-1984,-1474,16567,48808,40048,16567,2136,618,1399,69154,28650,1309,50839,13140,11806,12829,8649,19094,91903,36193
3084,15570,64649,46068,11699,63691,51179,2977,-1407,-1410,15570,67993,48784,15570,3264,752,1433,114887,25930,1363,86399,11489,11672,21500,12694,17254,192612,67405
3085,7892,57883,46780,6349,60555,51739,1314,-2984,-1864,7892,60563,48998,7892,2658,840,628,62623,24491,603,41668,10855,6008,17147,11575,8970,138938,62942
3087,5095,53322,45935,4223,56350,50512,723,-1444,-1600,5095,55786,47956,5095,2457,884,398,51637,23514,392,33252,9478,3990,14111,10493,6037,120779,59188
3088,16426,55031,45685,13260,57597,50000,2544,-2523,-2154,16426,57545,47942,16426,2494,826,1370,51615,25164,1311,30945,9571,12637,15366,11048,18748,136542,61671
3089,7439,58366,46857,6148,58492,49424,1188,-4467,-2578,7439,61272,49407,7439,2842,927,644,67953,30748,612,44512,11730,5885,16538,11353,8285,136861,61870
3090,1512,75247,49269,1153,65915,46735,344,-2561,-1908,1512,78835,52481,1512,3569,710,110,152886,38852,112,118287,18855,1180,26363,13386,1591,198249,75485
3091,1062,89362,43986,775,56067,40885,227,-826,-1487,1062,92448,47550,1062,2983,550,97,113431,35792,98,85442,13563,818,36479,11693,1146,208611,68925
3093,2450,73712,48404,1779,64124,50000,469,-1200,-1254,2450,77552,51396,2450,3807,826,219,72884,27550,218,50483,12150,1889,25578,12564,2727,247749,77360
3094,5432,55882,46790,4335,58089,50988,751,-3052,-2373,5432,58481,49000,5432,2571,844,524,44623,21912,495,26344,8851,4207,15586,11399,6354,139259,65508
3095,18067,63081,46694,14369,62009,49279,3080,-3406,-2205,18067,66140,49165,18067,3018,845,1772,86856,26446,1711,65746,10476,13895,19803,12175,20470,184986,73044
3096,1169,53940,43116,946,51993,44989,147,-4715,-1781,1169,56549,45104,1169,2593,805,116,49747,28508,109,32883,14604,899,15054,9849,1323,144925,58811
3097,931,76757,43231,634,65162,47438,163,-1238,-148,931,80308,46700,931,3294,550,113,63870,28710,108,36508,13082,694,29482,12677,1045,253972,72551
3099,3000,53006,41123,2338,53876,44926,454,-1132,-1422,3000,55491,43268,3000,2395,710,398,58636,30034,389,42559,14924,2235,15331,10110,3407,146855,60362
3101,16251,99748,52080,11209,75920,50000,3614,-1225,-266,16251,105505,55310,16251,5585,723,1734,234032,38684,1654,158345,17611,12379,42236,15900,17409,302556,62402
3102,4142,75983,49874,2993,71402,52136,911,1852,91,4142,81273,52609,4142,5194,846,421,122640,32976,405,78234,12803,3169,27362,14391,4473,198525,70569
3103,10192,80814,45003,6460,70912,46944,2321,-621,-261,10192,85158,47972,10192,4224,570,931,180012,35823,889,124245,15614,7272,33519,14420,10518,281872,62327
3104,12966,72038,45006,8623,65778,48285,3210,111,-232,12966,76026,47708,12966,3862,590,1177,188310,33459,1116,150224,15193,9404,27283,13558,13347,224509,63595
3105,6480,59308,41792,4582,59447,47298,1617,2221,394,6480,62169,43817,6480,2718,570,572,85919,28678,550,62078,12772,4663,19871,11234,6996,152052,55546
3106,10737,68688,42626,7302,62148,46696,2470,-80,-290,10737,71972,45287,10737,3192,538,890,153888,32974,859,122277,13441,7756,25325,12008,11450,225969,58983
3107,7892,56498,40310,5474,58869,48268,1697,-379,-645,7892,59208,42468,7892,2615,552,693,79171,27211,656,57355,11988,5502,18735,11258,8793,160675,60787
3108,12392,53626,37716,8266,53870,43572,2788,898,-174,12392,56248,39642,12392,2529,476,1096,95452,30293,1059,70397,11628,8500,17882,9559,13349,150128,40622
3109,16650,51698,37916,11728,56006,45424,3607,-747,-893,16650,54160,39900,16650,2383,500,1392,89229,31472,1350,63953,13079,11559,16377,9886,17999,136373,45440
3111,7518,63555,42914,5366,61948,47223,1542,-2183,-1498,7518,67052,45546,7518,3263,641,673,85889,28234,630,60351,11936,5474,21924,11780,8152,209487,61719
3113,5419,68738,46880,4001,63925,48514,1074,-2915,-2110,5419,72331,49818,5419,3529,760,607,80629,28729,596,51219,11788,4115,23393,13118,6077,204553,75493
3114,2509,87483,47158,1810,75066,45591,509,-4168,-1652,2509,111361,49819,2509,23617,600,201,143883,29383,203,109054,11062,1883,35472,14145,2746,270000,87485
3115,2680,74366,45310,2000,62896,44543,470,-3144,-2548,2680,78597,48636,2680,3820,648,258,80257,32506,243,64383,14618,2024,27365,12790,2882,221749,77392
3116,5907,52608,41845,4652,52760,45502,839,-1586,-1888,5907,55246,44067,5907,2576,705,501,63367,28665,490,40116,11655,4438,14966,9653,6600,135999,54556
3121,20683,73815,55203,17549,69668,58084,3375,-2269,-2014,20683,77606,58168,20683,3723,959,2180,77697,25328,2052,48024,10924,17168,23471,13746,24837,112649,36658
3122,15668,94210,52566,12070,72936,52452,2626,-1314,-1064,15668,99725,55352,15668,5379,778,1624,202869,26070,1540,138258,11806,12301,37566,14479,17684,240715,41966
3123,8862,90680,53758,6628,74284,52950,1484,-1755,-978,8862,95271,57109,8862,4464,852,879,176846,27547,840,127794,11768,6892,35341,15422,9753,239313,49246
3124,14711,89185,50211,10129,79065,51384,3284,-1901,-869,14711,95277,53493,14711,5802,778,1389,168405,33244,1321,117944,14444,11038,36179,15764,15651,284407,75649
3125,7538,53144,37534,5573,54188,42772,1293,-1822,-1502,7538,55561,39310,7538,2323,500,674,78213,21215,626,62279,8414,5159,17564,9947,8422,116336,31854
3126,5474,115520,55104,3574,88732,50000,1135,-4389,-2145,5474,122122,58822,5474,6540,767,511,254417,38400,506,160777,15333,4136,51854,18841,5634,401102,101264
3127,12063,82247,50370,8845,75335,52026,2228,-3498,-2208,12063,86115,53164,12063,3789,822,1080,149078,27692,1014,114228,10956,9175,31163,14937,13172,231152,74666
3128,10780,51545,37254,8249,53833,42466,1792,-1785,-1124,10780,53964,38893,10780,2324,478,897,78891,24402,839,57748,9020,7491,16429,9502,12226,106980,27954
3129,9597,57237,41789,7306,58747,47082,1760,-2592,-2222,9597,59853,44195,9597,2553,607,967,76806,25657,917,53347,10954,6965,18376,11024,10832,133042,50045
3130,18824,58586,43270,14007,60611,49546,3361,-2306,-1817,18824,61230,45320,18824,2560,664,1699,83294,25273,1602,60033,9800,13625,19017,11568,20575,152734,60028
3131,12549,51891,41030,9773,55353,47410,2002,-2430,-2017,12549,54133,43020,12549,2209,632,1074,49248,21936,1006,31242,8710,9182,15046,9900,14022,110425,46989
3132,9841,54941,44724,7812,58416,50190,1536,-2704,-1854,9841,57261,46667,9841,2287,661,822,87716,23546,793,69239,9628,7398,16077,11126,11013,125175,53872
3133,13390,53480,40604,9805,56668,47065,2768,-1754,-1580,13390,55986,42486,13390,2452,577,1074,65318,24533,1037,42285,9756,9440,16734,10616,14892,168848,61913
3134,19438,56413,43584,15502,56111,47184,2854,-3188,-2246,19438,59087,45729,19438,2502,705,1680,148354,26140,1623,130721,10872,14752,16808,10258,21960,128242,52450
3135,11276,53050,43678,9005,55887,49137,1502,-2958,-2296,11276,55424,45812,11276,2344,733,1006,55515,22836,979,33489,10100,8490,14932,10444,13079,124641,54888
3136,25468,51567,43167,20605,53874,46940,3168,-3121,-2222,25468,53945,45098,25468,2341,715,2238,59652,29329,2163,39108,12240,19398,13856,9613,29098,113785,50770
3137,7823,48812,42312,6439,50052,45816,908,-3702,-2350,7823,51094,44220,7823,2248,730,680,59849,29013,662,40850,13040,5985,12368,8771,9146,100402,48044
3138,12625,49123,42985,10450,51083,46042,1527,-3494,-2391,12625,51490,44823,12625,2335,736,1148,66617,30631,1115,46706,13718,9789,12347,8868,14686,96509,46097
3139,8297,49376,39879,6539,47224,41976,1061,-1023,-1240,8297,51815,41788,8297,2354,638,931,70618,38200,903,51188,17379,6223,13575,8287,9418,102572,43666
3140,10011,51398,42726,8078,51169,45389,1319,-2083,-1676,10011,53918,44658,10011,2436,692,870,59509,30566,845,37654,15256,7606,14004,9350,11123,107215,49194
3141,16967,98625,54170,13348,74971,55536,2603,-2756,-2050,16967,111411,57545,16967,12504,852,1910,102576,24588,1807,62512,11764,13711,41577,14063,19839,210314,28755
3142,10198,173808,63627,6151,87216,50831,1795,4784,1898,10198,193496,68676,10198,19344,957,1062,469363,40401,1032,363060,20220,8217,82390,19147,10567,674742,65686
3143,6263,107661,56358,4527,77491,54582,994,-2234,-1381,6263,114840,60146,6263,6929,917,699,173252,31900,650,107601,14346,4991,44455,15911,6982,289649,52207
3144,7818,115791,59363,5183,87590,53125,1520,1284,-42,7818,122087,63071,7818,6121,954,789,202857,42400,757,115201,20077,6174,48982,18078,8178,371404,73602
3145,13586,84926,51010,10131,73229,50664,2528,-1522,-528,13586,89371,53689,13586,4340,812,1330,126158,28672,1256,78406,12536,10440,32663,14646,15222,221389,57271
3146,15827,85749,53401,11791,77269,54227,2956,-2303,-1394,15827,90093,56893,15827,4276,871,1487,135802,29340,1448,84259,12032,12384,31992,15281,17321,232470,71092
3147,8333,69052,47233,6315,68153,51572,1639,-2574,-1843,8333,72303,49517,8333,3156,808,809,78859,26568,776,50052,11240,6271,23776,13383,9457,157672,57583
3148,5108,51671,41639,4108,53671,46333,975,-1349,-1571,5108,56924,43909,5108,5204,656,500,65686,23158,462,49299,9710,3799,14667,9654,5931,80073,28966
3149,20280,56715,41627,14324,59540,48490,4445,-1529,-1237,20280,59315,43578,20280,2526,574,1734,85425,27206,1641,59901,10799,14370,18559,11333,22147,159760,51923
3150,36133,55324,38942,25109,57088,46001,8747,-1705,-1406,36133,57998,40876,36133,2565,474,2970,116751,27833,2837,92584,12345,24660,19006,10746,39204,164431,48133
3151,5915,48382,36914,4300,52931,44148,1205,-1383,-1606,5915,50735,38291,5915,2211,488,491,85269,26912,466,67871,10349,4053,14726,9105,6690,117610,39066
3152,20024,51985,41540,15698,54638,46505,3783,-3436,-2407,20024,54379,43473,20024,2325,613,1562,73898,29002,1503,53432,11835,14711,15040,9781,22322,122994,47844
3153,11504,48026,42918,9725,50170,46689,1334,-2910,-2483,11504,50199,44704,11504,2135,733,977,52287,25943,927,34684,11527,8925,11744,8968,13689,86390,41578
3154,2639,50912,43791,2130,52499,47152,354,-2688,-1549,2639,53281,45846,2639,2346,747,256,74485,41537,243,53314,18133,2059,13070,9616,3049,106383,54714
3155,12588,47550,42362,10355,50157,46478,1426,-2680,-2161,12588,49644,44228,12588,2071,725,1150,51762,29058,1131,32674,10943,9619,11769,8766,15007,90993,43511
3156,22349,52505,43691,18520,53239,46894,3175,-3070,-2484,22349,54965,45707,22349,2419,741,1960,67092,29482,1891,47250,13216,17306,14215,9551,25776,107461,49537
3158,4203,51435,43042,3481,53764,47113,543,-2887,-1943,4203,53760,45267,4203,2305,755,488,52948,22006,478,34028,9992,3226,13618,9952,5019,112945,53314
3159,1552,53361,42832,1252,55023,47340,211,-3147,-1536,1552,56062,45831,1552,2646,772,187,51915,26712,179,36609,13308,1209,14507,10028,1803,123959,52463
3160,5321,52712,43095,4361,53687,46247,735,-3063,-1912,5321,55111,45078,5321,2363,719,619,49938,25560,611,28781,11148,4042,14606,9806,6485,108536,50795
3161,10040,89009,53577,6963,65245,48802,1800,4677,1218,10040,94933,57374,10040,5825,715,1097,203968,34761,1037,148501,14552,7849,34698,15389,10756,250200,43517
3162,11561,74979,48657,7996,64565,48412,2254,4349,1214,11561,79100,51108,11561,3959,705,1356,152759,28459,1283,126227,12132,8795,27105,13273,12213,213759,54078
3163,19096,59180,46682,15453,60406,51086,3098,-1028,-1136,19096,61725,48851,19096,2482,746,1795,67379,22792,1705,45993,9504,14592,17969,11236,21844,110890,36827
3165,15555,58093,45399,12061,61413,50645,3013,-2042,-1513,15555,60756,47760,15555,2590,749,1606,72444,29142,1559,50606,11140,11836,17328,11361,17259,113706,56475
3166,13250,54508,45282,10762,56414,49556,2430,-646,-1346,13250,56831,47267,13250,2261,650,1286,57849,24535,1195,42373,10265,10152,15531,10675,15569,91050,36067
3167,5309,50754,41650,4215,54398,47499,1061,-1559,-1237,5309,52972,43613,5309,2196,685,495,68116,32131,481,45823,13308,4013,13769,9296,6232,93313,40154
3168,9371,42076,34314,7722,43654,38872,1235,-506,-1017,9371,43842,35924,9371,1731,410,869,65503,20751,774,52523,9668,6258,11779,7740,11492,52684,11405
3169,10460,43071,37856,8537,46232,42886,1720,-944,-830,10460,44880,39428,10460,1779,548,1047,47050,24916,925,32340,10512,7576,10636,7578,12389,59629,21405
3170,11079,51195,41867,8562,54023,47658,2321,-2164,-1848,11079,53620,43911,11079,2374,640,977,111951,28100,933,93369,13455,8191,14739,9535,12556,101482,43286
3171,10491,36421,31979,7896,40730,37959,2014,-952,-1246,10491,37907,33153,10491,1398,364,1119,73987,27725,972,63610,13528,6955,9015,6173,12066,45965,14221
3172,12372,46429,38916,9993,48115,42716,1940,-1508,-1570,12372,48523,40578,12372,2068,585,1098,64199,29172,1029,48128,13994,9086,12100,7981,14448,96263,34531
3173,13194,47573,41267,10963,50080,45696,2530,-3002,-2350,13194,49744,42998,13194,2127,647,1082,85147,31171,1026,68377,14978,10082,12008,8206,15105,73184,33171
3174,18443,40574,37496,15264,43434,41808,2131,-1491,-1615,18443,42301,39003,18443,1710,549,2037,50109,26359,1870,35990,11848,13526,9085,6895,22632,53332,19827
3175,24842,40953,36464,19443,43657,41248,3074,-1428,-1628,24842,42830,37848,24842,1847,550,3485,55948,30195,3294,39205,12528,18012,9522,6588,30291,54941,17143
3177,4508,38991,36632,3625,41824,40697,429,-2913,-1876,4508,40665,38028,4508,1653,551,688,44113,30219,644,26622,12504,3304,8242,6253,5820,40893,15556
3178,20903,53134,43910,17324,55362,48020,3940,-4327,-3226,20903,55750,46191,20903,2582,769,1584,103309,31227,1512,83684,14198,16090,14610,10028,23256,109774,50970
3179,3523,49427,41612,2952,51405,45664,505,-5191,-4092,3523,51681,43310,3523,2214,702,286,50566,26427,274,31434,12458,2677,13015,8680,4143,96881,46366
3180,4335,48928,41768,3479,51538,46531,615,-2560,-1895,4335,51122,43812,4335,2151,685,340,65294,24868,334,44669,10364,3219,13097,9264,4986,110699,47660
3181,13701,71369,52670,11580,67188,54786,1985,-1089,-1788,13701,74876,55264,13701,3414,912,1449,84578,22287,1343,56143,10719,11143,22942,12844,16831,103741,30300
3182,16468,65309,47902,13979,59933,50148,2146,-1954,-1998,16468,68989,50614,16468,3574,756,1797,67974,22515,1706,40361,9988,12872,21125,11616,22253,104089,21598
3183,11854,65133,47956,9832,58797,49080,1484,12,-1542,11854,68425,50318,11854,3238,768,1384,85649,21100,1284,61594,9831,9339,20609,11353,14539,108125,29042
3184,10656,79893,55780,8824,70332,57164,1772,-2524,-2258,10656,84051,59043,10656,4043,1210,1423,74520,24170,1366,45229,10803,8883,26397,13635,12894,134870,44936
3185,8403,78790,50762,6402,70283,52962,1449,1741,-112,8403,82817,53344,8403,3953,865,965,113718,28199,932,70690,10950,6596,28196,13796,9577,165118,48303
3186,16118,124009,58730,10120,92895,52100,3489,-506,-393,16118,131235,63161,16118,6855,788,1671,244031,40540,1598,182193,17155,12476,55347,19031,16800,427373,89461
3187,9845,84177,50169,6626,79901,53090,2020,-419,-982,9845,88552,53279,9845,4239,760,981,126914,32668,939,95202,14164,7385,32706,15545,10420,235138,79349
3188,10730,87558,51004,7852,80182,54142,1984,-2821,-1698,10730,91952,54318,10730,4268,840,1127,92139,28080,1089,58627,10884,8202,34119,15007,11953,198010,68472
3189,3585,54703,43008,2707,58028,49996,617,-1448,-1176,3585,57322,45077,3585,2556,674,345,76128,33615,332,54991,14676,2651,16367,10492,4058,112420,50660
3190,6121,62470,46946,4861,64476,52943,964,-2631,-2076,6121,65132,49319,6121,2618,812,658,60483,27106,640,38137,10766,4693,19600,12004,6916,116952,56717
3191,6253,88127,54534,4472,81812,56557,1187,-2259,-1375,6253,92613,57745,6253,4317,927,602,144446,25270,585,115465,9771,4873,33079,16250,6726,257336,82549
3192,12827,56035,44210,9916,59252,50066,1991,-1728,-1799,12827,58530,46473,12827,2416,730,1173,59284,29839,1124,38709,11645,9654,16454,10733,14440,119029,53149
3193,12961,83192,49065,8629,77739,51480,2504,-1321,-1022,12961,87398,52134,12961,4079,733,1128,193735,30208,1102,163056,12682,9673,32423,15293,13693,279723,95938
3194,8621,59634,45499,6601,61399,50788,1481,-1939,-1343,8621,62490,48036,8621,2795,777,764,76698,29764,738,50591,11910,6553,18241,11196,9573,148222,56066
3195,21172,60446,47544,16880,61481,52077,3950,-2985,-2682,21172,63331,50078,21172,2815,840,1937,120248,31874,1875,98014,12265,16457,18075,11857,24049,133139,58919
3196,14333,54116,46501,11664,56793,51201,2117,-3502,-2796,14333,56785,48895,14333,2626,874,1356,66926,29996,1308,46683,12857,11176,14705,10578,16849,106198,51351
3197,7104,59671,45566,5527,57974,50000,1330,-2158,-1976,7104,62762,47996,7104,3018,864,622,93074,34692,608,66041,14808,5488,18064,10737,8046,141944,58755
3198,9007,48420,43148,7395,50876,47343,1043,-3048,-2322,9007,50841,45215,9007,2361,886,914,62302,35058,901,41916,13857,6981,11901,8808,11245,78879,41554
3199,29638,48904,40376,23522,50340,44532,3713,-2362,-1932,29638,51472,42671,29638,2520,780,2871,65940,30554,2783,44799,13878,22075,12992,8538,35729,101112,39481
3200,2030,40392,38434,1730,42123,41544,108,-4967,-3236,2030,42165,40116,2030,1725,638,166,109191,27770,159,93737,10609,1522,8536,6652,3034,44871,20798
3201,11217,46591,42678,9914,48477,45999,902,-3755,-3020,11217,49017,44851,11217,2412,985,842,52592,29932,821,35617,13069,8962,10572,8016,13364,62546,34910
3202,1602,58630,46138,1294,61826,51007,331,-4505,-4061,1602,61296,49024,1602,2601,930,167,87850,28912,167,66560,14717,1248,17261,11260,1842,100432,49786
3204,18033,64204,46759,14014,65570,51486,3437,-1643,-1646,18033,67177,49300,18033,2863,765,1754,74811,26595,1680,53077,11431,13595,21049,12589,20101,136894,54177
3205,7350,80476,55112,5788,75530,59273,1399,-3197,-2244,7350,84782,58608,7350,4157,918,786,125991,30100,766,91150,11496,5847,28658,14931,8858,165263,40612
3206,6993,119353,62121,4920,99057,63252,1720,-2633,-1422,6993,126335,66903,6993,6777,1261,875,168248,32650,864,104316,14385,5548,50590,18830,8104,321807,77238
